jogo;categoria;codigo;nome;colecao;condicao;origem;preco;preco_antigo;estoque;destaque;imagem;descricao;prevenda;graduacao;peso_g;largura_cm;altura_cm;comprimento_cm
pokemon;cartas-graduadas;base2-7;Nidoqueen Holo 1ª Edição;Jungle (1999);Graduada;US;54999,90;;1;sim;/produtos/slab-nidoqueen-psa10.jpg;Nidoqueen Holo #7, 1ª edição da coleção Jungle (1999), graduada PSA 10 GEM MT. Certificado PSA 28398002.;;PSA 10;200;12;4;18
pokemon;cartas-graduadas;neo4-11;Dark Tyranitar Holo 1ª Edição;Neo Destiny (2002);Graduada;US;84999,90;;1;;/produtos/slab-dark-tyranitar-bgs9.jpg;Dark Tyranitar Holo #11, 1ª edição da coleção Neo Destiny (2002), graduada Beckett 9 Mint (centering 9.5, corners 9, edges 8.5, surface 9.5). Certificado BGS 0019395891.;;BGS 9;220;12;4;18
pokemon;produtos-selados;;Display de Mini Latas – Ascended Heroes;Mega Evolution – Ascended Heroes;Novo;US;2899,90;;1;;/produtos/ascended-heroes-display-mini-latas.jpg;Display com mini latas de Mega Evolution – Ascended Heroes. Cada mini lata traz 2 boosters da coleção, 1 cartela de adesivos e 1 card de arte com a ilustração da tampa. São 5 modelos de mini lata, e os 5 cards de arte juntos formam uma cena maior.;;;1300;19;17;21
pokemon;produtos-selados;;Coleção Premium com Pôster – Mega Gardevoir ex;Mega Evolution – Ascended Heroes;Novo;US;899,90;;1;sim;/produtos/ascended-heroes-poster-gardevoir-caixa.png;10 boosters de Mega Evolution – Ascended Heroes, 1 carta promocional foil de Mega Gardevoir ex, 1 pôster dupla face (cerca de 68 × 99 cm) e 1 código para o Pokémon TCG Live.;;;950;37;8;44
pokemon;produtos-selados;;Coleção Premium com Pôster – Mega Lucario ex;Mega Evolution – Ascended Heroes;Novo;US;959,90;;1;;/produtos/ascended-heroes-poster-lucario-caixa.png;10 boosters de Mega Evolution – Ascended Heroes, 1 carta promocional foil de Mega Lucario ex, 1 pôster dupla face (cerca de 68 × 99 cm) e 1 código para o Pokémon TCG Live.;;;950;37;8;44
pokemon;produtos-selados;;Coleção Ultra Premium 151;Scarlet & Violet – 151;Novo;US;9999,90;;1;sim;/produtos/upc-151-ingles.png;16 boosters de Scarlet & Violet – 151, 1 carta metálica de Mew ex (hiper rara), 2 cartas promocionais (Mew ex e Mewtwo), playmat de Mew com borda costurada, deck box, moeda de Mew e acessórios de jogo.;;;1550;27;14;42
pokemon;produtos-selados;;Display de Mini Latas – 151;Scarlet & Violet – 151;Novo;US;3799,90;;1;;/produtos/display-mini-latas-151.jpg;Display com mini latas de Scarlet & Violet – 151, a coleção com os 151 Pokémon originais da região de Kanto.;;;1300;19;17;21
lorcana;produtos-selados;;Booster Display Fabled;Disney Lorcana – Fabled;Novo;US;5499,90;;1;sim;/produtos/lorcana-fabled-booster-display.webp;Caixa lacrada com 24 boosters de Disney Lorcana – Fabled, com 12 cartas em cada (288 cartas no total).;;;850;17;9;24
